link,listed_by,price,bedrooms
https://www.rightmove.co.uk/properties/89449317#/?channel=RES_LET,,"£3,467 pcm
£800 pw",
https://www.rightmove.co.uk/properties/89424873#/?channel=RES_LET,,"£3,450 pcm
£796 pw",
https://www.rightmove.co.uk/properties/88466580#/?channel=RES_LET,,"£3,185 pcm
£735 pw",
https://www.rightmove.co.uk/properties/161734964#/?channel=RES_LET,,"£3,142 pcm
£725 pw",
https://www.rightmove.co.uk/properties/89447715#/?channel=RES_LET,,"£3,683 pcm
£850 pw",
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-parker-st-wc2b/2922288,,"£4,500 pcm",3
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-exide-house-wc2h/1771440,,"£5,345 pcm",3
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-whitehall-court-sw1a/2846054,,"£5,500 pcm",3
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-black-bull-court-ec1n/2912266,,"£3,300 pcm",2
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-theobalds-road-wc1x/2922043,,"£3,950 pcm",3
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-luxborough-st-w1u/2820301,,"£4,450 pcm",2
https://www.openrent.co.uk/property-to-rent/london/4-bed-flat-wheatley-st-w1g/2906102,,"£5,200 pcm",4
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-new-cavendish-street-w1g/2919333,,"£2,985 pcm",2
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-st-michaels-street-w2/2922583,,"£5,000 pcm",3
https://www.openrent.co.uk/property-to-rent/london/4-bed-flat-holcroft-court-w1w/2921882,,"£1,350 pcm",4
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-olympia-w14/2857013,,"£3,600 pcm",2
https://www.openrent.co.uk/property-to-rent/london/4-bed-maisonette-top-floor-maisonette-w14/2840615,,"£4,500 pcm",4
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-boswell-street-wc1n/2922067,,£950 pcm,3
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-victoria-house-ec4y/2824125,,"£3,680 pcm",2
https://www.openrent.co.uk/property-to-rent/london/4-bed-flat-grimthorpe-house-ec1v/2869510,,"£4,250 pcm",4
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-upper-tachbrook-street-sw1v/2895965,,"£2,600 pcm",2
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-ebury-square-gardens-belgravia-sw1w/2872841,,"£4,600 pcm",3
https://www.openrent.co.uk/property-to-rent/london/3-bed-maisonette-de-quincey-house-sw1v/2895799,,"£3,350 pcm",3
https://www.openrent.co.uk/property-to-rent/london/4-bed-terraced-house-balfe-st-n1/2862696,,"£4,800 pcm",4
https://www.onthemarket.com/details/19670528/,"Shillingstone House, Russell Road, London, W14","3,000 pcm (£692 pw)",
https://www.onthemarket.com/details/19487286/,"North End Road, London, W14","2,600 pcm (£600 pw)",
https://www.onthemarket.com/details/19413686/,"Mornington Avenue Mansions, London, W14","2,350 pcm (£542 pw)",
https://www.onthemarket.com/details/19672648/,"York Street, London","3,000 pcm (£692 pw)",
https://www.onthemarket.com/details/1590569/,"Park Road, Regent's Park, London","2,925 pcm (£675 pw)",
https://www.rightmove.co.uk/properties/89193750#/?channel=RES_LET,,"£6,062 pcm
£1,399 pw",
https://www.onthemarket.com/details/10382124/,"Maybury Court, Marylebone Street, London","4,008 pcm (£925 pw)",
https://www.onthemarket.com/details/19626703/,"King's Cross Road, London","3,600 pcm (£831 pw)",
https://www.onthemarket.com/details/19672865/,Only With Us,"1,475 pcm (£340 pw)",2
https://www.onthemarket.com/details/19672517/,"Mirabel Street, City Centre","1,295 pcm (£299 pw)",
https://www.rightmove.co.uk/properties/88196343#/?channel=RES_LET,,"£3,683 pcm
£850 pw",
