link,listed_by,price,bedrooms,required_nightly,airdna_adr,margin
https://www.rightmove.co.uk/properties/89208885#/?channel=RES_LET,"Croft International, London","£8,840 pcm
£2,040 pw",5,,,
https://www.rightmove.co.uk/properties/89194734#/?channel=RES_LET,"Croft International, London","£6,998 pcm
£1,615 pw",3,500,474,26
https://www.rightmove.co.uk/properties/89453607#/?channel=RES_LET,"Newington estates, London","£3,142 pcm
£725 pw",2,224,349,-125
https://www.rightmove.co.uk/properties/88797378#/?channel=RES_LET,"Kinleigh Folkard & Hayward - Lettings, Marylebone","£6,500 pcm
£1,500 pw",3,464,474,-10
https://www.rightmove.co.uk/properties/89088054#/?channel=RES_LET,"EC Residential LTD, London","£3,650 pcm
£842 pw",2,261,349,-88
https://www.rightmove.co.uk/properties/88558281#/?channel=RES_LET,"LDG, London","£2,492 pcm
£575 pw",2,178,349,-171
https://www.rightmove.co.uk/properties/88988028#/?channel=RES_LET,"Newington estates, London","£3,900 pcm
£900 pw",2,279,349,-70
https://www.rightmove.co.uk/properties/87818463#/?channel=RES_LET,"Kinleigh Folkard & Hayward - Lettings, Marylebone","£3,000 pcm
£692 pw",2,214,349,-135
https://www.rightmove.co.uk/properties/167069285#/?channel=RES_LET,"Cedar Estates, West Hampstead","£2,708 pcm
£625 pw",2,193,349,-156
https://www.rightmove.co.uk/properties/173699873#/?channel=RES_LET,"LDG, London","£4,996 pcm
£1,153 pw",2,357,492,-135
https://www.rightmove.co.uk/properties/88125633#/?channel=RES_LET,"Kinleigh Folkard & Hayward - Lettings, Marylebone","£3,200 pcm
£738 pw",2,229,492,-263
https://www.rightmove.co.uk/properties/164826908#/?channel=RES_LET,"Monteo London, London","£7,280 pcm
£1,680 pw",3,520,760,-240
https://www.rightmove.co.uk/properties/89500938#/?channel=RES_LET,"Maxwells Estates, Islington","£3,000 pcm
£692 pw",2,214,408,-194
https://www.rightmove.co.uk/properties/174699416#/?channel=RES_LET,"Century 21 London Central, Westminster","£5,500 pcm
£1,269 pw",3,393,632,-239
https://www.rightmove.co.uk/properties/145865375#/?channel=RES_LET,"Cluttons, Hyde Park - Lettings","£7,995 pcm
£1,845 pw",3,,,
https://www.rightmove.co.uk/properties/87950994#/?channel=RES_LET,"Stirling Ackroyd Lettings, West End","£12,350 pcm
£2,850 pw
PREMIUM LISTING",3,,,
https://www.rightmove.co.uk/properties/89504589#/?channel=RES_LET,"Hamptons, Paddington","£3,250 pcm
£750 pw",2,232,299,-67
https://www.rightmove.co.uk/properties/88703715#/?channel=RES_LET,"OpenRent, London","£4,350 pcm
£1,004 pw",3,311,411,-100
https://www.rightmove.co.uk/properties/88002195#/?channel=RES_LET,"Citydeal Estates, London","£4,200 pcm
£969 pw",3,300,411,-111
https://www.rightmove.co.uk/properties/150105698#/?channel=RES_LET,"Knight Frank - Lettings, Hyde Park","£4,117 pcm
£950 pw
PREMIUM LISTING",2,294,299,-5
https://www.rightmove.co.uk/properties/87943518#/?channel=RES_LET,"Cluttons, Islington - Lettings","£2,900 pcm
£669 pw",2,207,354,-147
https://www.rightmove.co.uk/properties/88241730#/?channel=RES_LET,"Regent & Wood, London","£3,445 pcm
£795 pw",2,246,354,-108
https://www.rightmove.co.uk/properties/172241588#/?channel=RES_LET,"Harris Le Beau, London","£6,000 pcm
£1,385 pw",3,429,514,-85
https://www.onthemarket.com/details/2995986/,"Albany Street, Regent's Park, London","4,983 pcm (£1,150 pw)",3,356,514,-158
https://www.rightmove.co.uk/properties/89428590#/?channel=RES_LET,"JLL, Chelsea & Knightsbridge","£8,125 pcm
£1,875 pw",3,,,
https://www.rightmove.co.uk/properties/89235483#/?channel=RES_LET,"eXp UK, London","£8,000 pcm
£1,846 pw",3,,,
https://www.rightmove.co.uk/properties/174592673#/?channel=RES_LET,"John D Wood & Co. Lettings, Belgravia","£3,033 pcm
£700 pw",2,217,356,-139
https://www.rightmove.co.uk/properties/88932648#/?channel=RES_LET,"Newington estates, London","£3,987 pcm
£920 pw",2,285,356,-71
https://www.rightmove.co.uk/properties/88037787#/?channel=RES_LET,"Century 21 London Central, Westminster","£5,000 pcm
£1,154 pw",3,357,706,-349
https://www.rightmove.co.uk/properties/174047279#/?channel=RES_LET,"Circa London, Southwark","£9,997 pcm
£2,307 pw",3,,,
https://www.rightmove.co.uk/properties/174416588#/?channel=RES_LET,"Knight Frank - Lettings, Belgravia","£4,008 pcm
£925 pw",2,286,356,-70
https://www.rightmove.co.uk/properties/174161885#/?channel=RES_LET,"Garton Jones, Chelsea & Belgravia","£3,142 pcm
£725 pw",2,224,356,-132
https://www.rightmove.co.uk/properties/89508504#/?channel=RES_LET,"Bentley & Co, Camden","£4,767 pcm
£1,100 pw",4,340,436,-96
https://www.rightmove.co.uk/properties/89456700#/?channel=RES_LET,"OpenRent, London","£4,000 pcm
£923 pw",2,286,255,31
https://www.rightmove.co.uk/properties/88533768#/?channel=RES_LET,"OpenRent, London","£3,895 pcm
£899 pw",2,278,255,23
https://www.rightmove.co.uk/properties/88331853#/?channel=RES_LET,"Bamboo Living, London","£3,300 pcm
£762 pw",2,236,255,-19
https://www.rightmove.co.uk/properties/88322538#/?channel=RES_LET,"Bamboo Living, London","£4,199 pcm
£969 pw",2,300,255,45
https://www.rightmove.co.uk/properties/88380075#/?channel=RES_LET,"Stelfort, London","£3,000 pcm
£692 pw",3,214,346,-132
https://www.rightmove.co.uk/properties/88248060#/?channel=RES_LET,"Stelfort, London","£3,000 pcm
£692 pw",2,214,255,-41
https://www.rightmove.co.uk/properties/148738925#/?channel=RES_LET,"Black Katz, Islington","£4,117 pcm
£950 pw",3,294,346,-52
https://www.rightmove.co.uk/properties/87969339#/?channel=RES_LET,"OpenRent, London","£4,800 pcm
£1,108 pw",4,343,436,-93
https://www.rightmove.co.uk/properties/172415519#/?channel=RES_LET,"Stelfort, London","£2,800 pcm
£646 pw",2,200,255,-55
https://www.rightmove.co.uk/properties/172966352#/?channel=RES_LET,"OpenRent, London","£3,550 pcm
£819 pw",3,254,346,-92
https://www.onthemarket.com/details/18857497/,"Burton Street, London","5,200 pcm (£1,200 pw)",3,371,346,25
https://www.rightmove.co.uk/properties/168405470#/?channel=RES_LET,"Black Katz, Islington","£3,358 pcm
£775 pw",2,240,255,-15
https://www.onthemarket.com/details/18978455/,"Hand Axe Yard, King's Cross, St Pancras Place, London, WC1X","4,200 pcm (£969 pw)",2,300,255,45
https://www.rightmove.co.uk/properties/138617969#/?channel=RES_LET,"Black Katz, Islington","£3,792 pcm
£875 pw",3,271,346,-75
https://www.rightmove.co.uk/properties/89249235#/?channel=RES_LET,"Tyers Yan Management, London","£4,745 pcm
£1,095 pw",2,339,348,-9
https://www.rightmove.co.uk/properties/57179154#/?channel=RES_LET,"CB Williams Property, London","£3,500 pcm
£808 pw",2,250,299,-49
https://www.rightmove.co.uk/properties/85420404#/?channel=RES_LET,"Winkworth, West End","£3,423 pcm
£790 pw",2,244,299,-55
https://www.rightmove.co.uk/properties/163100294#/?channel=RES_LET,"Square Quarters, Islington","£3,800 pcm
£877 pw",2,271,299,-28
https://www.rightmove.co.uk/properties/89131371#/?channel=RES_LET,"Homequarters, London","£3,700 pcm
£854 pw",2,264,299,-35
https://www.rightmove.co.uk/properties/88445358#/?channel=RES_LET,"Bamboo Living, London","£3,130 pcm
£722 pw",2,224,299,-75
https://www.rightmove.co.uk/properties/89428032#/?channel=RES_LET,"Parkes Estate Agents, Kensington","£4,983 pcm
£1,150 pw
PREMIUM LISTING",2,356,353,3
https://www.rightmove.co.uk/properties/174440906#/?channel=RES_LET,"Plaza Estates, Knightsbridge","£3,792 pcm
£875 pw",2,271,353,-82
https://www.rightmove.co.uk/properties/89163882#/?channel=RES_LET,"tlc Estate Agents, Chelsea","£3,250 pcm
£750 pw",2,232,353,-121
https://www.rightmove.co.uk/properties/89063343#/?channel=RES_LET,"tlc Estate Agents, Chelsea","£6,500 pcm
£1,500 pw",4,464,1260,-796
https://www.rightmove.co.uk/properties/170243396#/?channel=RES_LET,"Knight Frank - Lettings, South Kensington","£6,998 pcm
£1,615 pw
PREMIUM LISTING",4,500,1260,-760
https://www.rightmove.co.uk/properties/87897075#/?channel=RES_LET,"Casa Londra, London","£4,333 pcm
£1,000 pw",2,310,353,-43
https://www.rightmove.co.uk/properties/174927572#/?channel=RES_LET,"OpenRent, London","£4,247 pcm
£980 pw",2,303,353,-50
https://www.rightmove.co.uk/properties/174044678#/?channel=RES_LET,"Susan Metcalfe Residential, London","£5,633 pcm
£1,300 pw",3,402,538,-136
https://www.rightmove.co.uk/properties/89018616#/?channel=RES_LET,"Landstones, London","£5,417 pcm
£1,250 pw",3,387,538,-151
https://www.rightmove.co.uk/properties/170913854#/?channel=RES_LET,"Parkes Estate Agents, Kensington","£5,997 pcm
£1,384 pw
PREMIUM LISTING",3,428,538,-110
https://www.rightmove.co.uk/properties/172406639#/?channel=RES_LET,"Hamptons, Kensington","£8,450 pcm
£1,950 pw
PREMIUM LISTING",3,,,
https://www.rightmove.co.uk/properties/170979110#/?channel=RES_LET,"Draker KFH, Notting Hill","£8,500 pcm
£1,962 pw",3,,,
https://www.rightmove.co.uk/properties/171881948#/?channel=RES_LET,"Winchester White, South Kensington","£5,500 pcm
£1,269 pw",2,393,353,40
https://www.rightmove.co.uk/properties/166010483#/?channel=RES_LET,"Draker KFH, Sloane Square","£4,550 pcm
£1,050 pw",3,325,538,-213
https://www.rightmove.co.uk/properties/171603719#/?channel=RES_LET,"RR Properties, London","£3,207 pcm
£740 pw",2,229,353,-124
https://www.rightmove.co.uk/properties/172337048#/?channel=RES_LET,"Hamptons, Chelsea","£4,312 pcm
£995 pw",2,308,353,-45
https://www.rightmove.co.uk/properties/166010453#/?channel=RES_LET,"Draker KFH, Sloane Square","£6,500 pcm
£1,500 pw",3,464,538,-74
https://www.rightmove.co.uk/properties/165278171#/?channel=RES_LET,"Landstones, London","£4,225 pcm
£975 pw",2,302,353,-51
https://www.rightmove.co.uk/properties/169122719#/?channel=RES_LET,"Hamptons, Kensington","£5,200 pcm
£1,200 pw
PREMIUM LISTING",2,371,353,18
https://www.rightmove.co.uk/properties/164116895#/?channel=RES_LET,"Landstones, London","£5,499 pcm
£1,269 pw",2,393,353,40
https://www.rightmove.co.uk/properties/142083899#/?channel=RES_LET,"M2 Property, London","£4,008 pcm
£925 pw
PREMIUM LISTING",2,286,353,-67
https://www.rightmove.co.uk/properties/174082157#/?channel=RES_LET,"EGRE, London","£7,500 pcm
£1,731 pw",4,536,540,-4
https://www.rightmove.co.uk/properties/171797096#/?channel=RES_LET,"Draker KFH, Notting Hill","£6,200 pcm
£1,431 pw",3,443,462,-19
https://www.rightmove.co.uk/properties/174713552#/?channel=RES_LET,"OpenRent, London","£2,995 pcm
£691 pw",2,214,295,-81
https://www.rightmove.co.uk/properties/173444699#/?channel=RES_LET,"Hamptons, Paddington","£4,550 pcm
£1,050 pw",2,325,295,30
https://www.rightmove.co.uk/properties/174719390#/?channel=RES_LET,"Hamptons, Paddington","£3,500 pcm
£808 pw
PREMIUM LISTING",2,250,295,-45
https://www.onthemarket.com/details/19675307/,"Gratton Road, London W14","2,300 pcm (£531 pw)",2,164,237,-73
https://www.onthemarket.com/details/19672631/,"Blythe Road, London W14","1,850 pcm (£427 pw)",2,132,237,-105
https://www.onthemarket.com/details/19671161/,Angel N1,"4,940 pcm (£1,140 pw)",4,353,436,-83
https://www.onthemarket.com/details/7143471/,"Chapel Market, London N1","5,450 pcm (£1,258 pw)",4,389,436,-47
https://www.onthemarket.com/details/19634369/,"Warren Court, 293-295 Euston Road","3,445 pcm (£795 pw)",2,246,354,-108
https://www.rightmove.co.uk/properties/89044650#/?channel=RES_LET,"Marsh & Parsons, Earls Court","£6,500 pcm
£1,500 pw",5,464,945,-481
https://www.onthemarket.com/details/17652724/,Luxury 3 Bedroom Kensington Apartment,"10,800 pcm (£2,492 pw)",3,,,
https://www.onthemarket.com/details/19506250/,"Beaver Building, Oxford Street, London","6,750 pcm (£1,558 pw)",3,482,637,-155
https://www.onthemarket.com/details/4050450/,"Samford House, Charlotte Terrace, London","3,900 pcm (£900 pw)",3,279,329,-50
https://www.onthemarket.com/details/17267353/,"Flat , Crystal Wharf, Graham Street, London","3,795 pcm (£876 pw)",2,271,235,36
https://www.onthemarket.com/details/18760748/,Bills Included,"5,000 pcm (£1,154 pw)",4,357,436,-79
https://www.onthemarket.com/details/19543857/,"Northdown Street, London","4,000 pcm (£923 pw)",4,286,436,-150
https://www.onthemarket.com/details/15159305/,Black Katz - Islington,"4,767 pcm (£1,100 pw)",3,340,346,-6
https://www.onthemarket.com/details/18975359/,Black Katz - Islington,"3,792 pcm (£875 pw)",3,271,346,-75
