link,listed_by,price,bedrooms,nearest_station,required_nightly,airdna_adr,margin
https://www.rightmove.co.uk/properties/92281845#/?channel=RES_LET,"London Executive, London","£4,750 pcm
£1,096 pw",2,Soho,339,396,-57
https://www.rightmove.co.uk/properties/157208378#/?channel=RES_LET,"Arbitrage Group, London","£5,750 pcm
£1,327 pw",3,Soho,411,630,-219
https://www.rightmove.co.uk/properties/93379506#/?channel=RES_LET,"LDG, London","£3,000 pcm
£692 pw",2,Regent's Park,214,341,-127
https://www.rightmove.co.uk/properties/93373785#/?channel=RES_LET,"Knight Frank - Lettings, South Kensington","£12,000 pcm
£2,769 pw
ROOF TERRACE",4,Gloucester Road,,,
https://www.zoopla.co.uk/to-rent/details/74132732/,Austin Homes,"£4,750 pcm",2,Lancaster Gate,339,290,49
https://www.zoopla.co.uk/to-rent/details/74045277/,Marsh & Parsons - Brook Green,"£3,900 pcm",3,Kensington Olympia,279,341,-62
https://www.onthemarket.com/details/11689889/,"Aynhoe Road, Brook Green, London, W14","2,550 pcm (£588 pw)",2,Kensington Olympia,182,231,-49
https://www.rightmove.co.uk/properties/93393849#/?channel=RES_LET,"Grosvenor, Mayfair & Belgravia","£4,333 pcm
£1,000 pw",2,Bond Street,310,495,-185
https://www.onthemarket.com/details/19646022/,"Hyde Park Mansions, Paddington, London","5,850 pcm (£1,350 pw)",3,Marylebone,418,403,15
https://www.rightmove.co.uk/properties/93389193#/?channel=RES_LET,"Rapport, Covering London","£3,857 pcm
£890 pw",2,King's Cross St Pancras,276,250,26
https://www.onthemarket.com/details/20380034/,"Redcliffe Square, London","5,417 pcm (£1,250 pw)",3,Gloucester Road,387,506,-119
